type,L1,L2,L3,L4,manufacturer_group,tax_type
その他,自転車修理 (シティサイクル),スポーク ニップル交換,スポーク交換・車輪脱着（後輪）,,,
その他,自転車修理 (シティサイクル),スポーク ニップル交換,スポーク交換・車輪脱着（内装ギア脱着含む）,,,
その他,自転車修理 (シティサイクル),スポーク ニップル交換,スポーク交換・車輪脱着（外装ボスフリー脱着含む）,,,
その他,自転車修理 (シティサイクル),スポーク ニップル交換,ニップル交換,,,
その他,自転車修理 (シティサイクル),ホイール組,組替え（前輪）,,,
その他,自転車修理 (シティサイクル),ホイール組,組替え（後輪）,,,
その他,自転車修理 (シティサイクル),車輪交換,前輪交換,,,
その他,自転車修理 (シティサイクル),車輪交換,後輪交換,,,
その他,自転車修理 (シティサイクル),ハブ,ハブ芯交換・ガタ調整・ベアリング交換（前輪）,,,
その他,自転車修理 (シティサイクル),ハブ,ハブ芯交換・ガタ調整・ベアリング交換（後輪）,,,
その他,自転車修理 (シティサイクル),クランク交換,右クランク,,,
その他,自転車修理 (シティサイクル),クランク交換,左クランク,,,
その他,自転車修理 (シティサイクル),BB,BB全交換､ベアリング交換,,,
その他,自転車修理 (シティサイクル),BB,BBガタ調整,,,
その他,自転車修理 (シティサイクル),ペダル,ペダル交換（左右セット）,,,
その他,自転車修理 (シティサイクル),チェーン,ハーフケース・チェーンジョイント交換,,,
その他,自転車修理 (シティサイクル),チェーン,ハーフケース・チェーン交換,,,
その他,自転車修理 (シティサイクル),チェーン,ハーフケース・ケース交換,,,
その他,自転車修理 (シティサイクル),チェーン,ハーフケース・ケース交換・金具交換なし,,,
その他,自転車修理 (シティサイクル),チェーン,フルカバー・チェーンジョイント交換,,,
その他,自転車修理 (シティサイクル),チェーン,フルカバー・チェーン交換,,,
その他,自転車修理 (シティサイクル),チェーン,フルカバー・ケース交換,,,
その他,自転車修理 (シティサイクル),チェーン,チェーン張り調整,,,
その他,自転車修理 (シティサイクル),チェーン,ベルト交換,,,
その他,自転車修理 (シティサイクル),チェーン,バランスバイク駆動ユニット取り付け,,,
その他,自転車修理 (シティサイクル),サドル,サドル・やぐら交換（やぐら返し）,,,
その他,自転車修理 (シティサイクル),サドル,シートポスト交換,,,
その他,自転車修理 (シティサイクル),サドル,ハンドル,,,
その他,自転車修理 (シティサイクル),サドル,ハンドル交換,,,
その他,自転車修理 (シティサイクル),サドル,ステム交換,,,
その他,自転車修理 (シティサイクル),サドル,ヘッド増し締め・ガタ調整,,,
その他,自転車修理 (シティサイクル),サドル,グリップ交換（左右セット）,,,
その他,自転車修理 (シティサイクル),変速調整（後のみ）,内装変速調整,,,
その他,自転車修理 (シティサイクル),変速調整（後のみ）,外装変速調整,,,
その他,自転車修理 (シティサイクル),変速レバー交換（変速調整は片側のみ基本工賃に含まれます。）,内装3Sピアノタッチレバー,,,
その他,自転車修理 (シティサイクル),変速レバー交換（変速調整は片側のみ基本工賃に含まれます。）,内装グリップシフター,,,
その他,自転車修理 (シティサイクル),変速レバー交換（変速調整は片側のみ基本工賃に含まれます。）,外装シフター,,,
その他,自転車修理 (シティサイクル),ケーブル交換,内装変速（ベルクランク）ケーブル,,,
その他,自転車修理 (シティサイクル),ケーブル交換,内装変速（カセットジョイント）ケーブル,,,
その他,自転車修理 (シティサイクル),ケーブル交換,外装変速インナーのみ,,,
その他,自転車修理 (シティサイクル),ケーブル交換,外装変速インナー・アウター,,,
その他,自転車修理 (シティサイクル),ベルクランクカバー、ネジ交換,,,,
その他,自転車修理 (シティサイクル),ベルクランク交換,,,,
その他,自転車修理 (シティサイクル),リアディレーラー交換,,,,
その他,自転車修理 (シティサイクル),ボスフリー交換,,,,
その他,自転車修理 (シティサイクル),カセットスプロケット交換,,,,
その他,自転車修理 (シティサイクル),内装変速,ユニット交換,,,
その他,自転車修理 (シティサイクル),内装変速,ハブインターナルのみ交換,,,
その他,自転車修理 (シティサイクル),ブレーキ調整（前後セット）,,,
その他,自転車修理 (シティサイクル),ブレーキケーブル交換（前後ともに各）,,,
その他,自転車修理 (シティサイクル),ブレーキレバー交換（片側）,,,
その他,自転車修理 (シティサイクル),ブレーキシュー交換（前後ともに各）,,,
その他,自転車修理 (シティサイクル),キャリパーブレーキ交換,,,,
その他,自転車修理 (シティサイクル),後ブレーキ交換（ドラム、サーボ、ローラー）,,,
